k_num,topico,posicao,theta,ano,fonte,subarea,trecho
1,"T1: Políticas Públicas, Educação e Saúde",11,0.971,2015,CAPES,PP,"ESTE ESTUDO TRATOU DE EVIDENCIAR A RELAÇÃO INTRÍNSECA ENTRE A POLÍTICA DE ASSISTÊNCIA SOCIAL E A ÁREA DA VIGILÂNCIA SOCIOASSISTENCIAL, TENDO EM VISTA QUE ESTA ÁREA É RESPONSÁVEL PELA PRODUÇÃO DE INFORMAÇÕES E INDICADORES SOCIAIS, QUE SUBSIDIAM A OFERTA DOS SERVIÇOS, PROGRAMAS, PROJETOS E BENEFÍCIOS SOCIOASSISTENCIAIS DESENVOLVIDOS. SALIENTA-SE QUE PARA QUE ESTA POLÍTICA RESPONDA EFETIVAMENTE ÀS DEMANDAS DA POPULAÇÃO, É NECESSÁRIO QUE O TRABALHO DESTA EQUIPE SEJA POTENCIALIZADO. NESTE SENTIDO,..."
1,"T1: Políticas Públicas, Educação e Saúde",12,0.97,2023,CAPES,PP,"A AVALIAÇÃO DE DESEMPENHO POR COMPETÊNCIAS (ADC) É UMA FERRAMENTA DE PLANEJAMENTO E CONTROLE QUE SUBSIDIA A TOMADA DE DECISÕES ESTRATÉGICAS EM PROL DO APERFEIÇOAMENTO DE PESSOAL. PARA AVALIAR O DESEMPENHO DOS SERVIDORES TÉCNICOADMINISTRATIVOS DA UFRB FOI INSTITUÍDO, A PARTIR DA PORTARIA Nº 277, DE 14 DE JULHO DE 2008, ALTERADA PELA PORTARIA Nº 139, DE 27 DE FEVEREIRO DE 2009, O PROGRAMA DE AVALIAÇÃO DE DESEMPENHO POR COMPETÊNCIAS DOS SERVIDORES TÉCNICOADMINISTRATIVOS (PROADC). O PRESENTE TRAB..."
1,"T1: Políticas Públicas, Educação e Saúde",13,0.97,2022,CAPES,PP,"A REFERIDA PESQUISA PERMEIA O CONTEXTO DAS POLÍTICAS EDUCACIONAIS ESCOLARES NO CEARÁ, ESPECIFICAMENTE UMA ESCOLA PÚBLICA DE ENSINO MÉDIO. O OBJETIVO É APROFUNDAR O DEBATE E REFLETIR SOBRE A IMPLEMENTAÇÃO DA ESCOLA DE TEMPO INTEGRAL NO ESTADO. A PESQUISA EM QUESTÃO TEM, POR PRINCÍPIO, ANALISAR A COMPREENSÃO DO NÚCLEO GESTOR, PROFESSORES E ESTUDANTES SOBRE A IMPLANTAÇÃO DO TEMPO INTEGRAL NA ESCOLA DE ENSINO MÉDIO PADRE GUILHERME WAESSEN. PARA TANTO, REALIZAMOS ENTREVISTAS DIRECIONADAS AO NÚCLEO..."
1,"T1: Políticas Públicas, Educação e Saúde",14,0.97,2020,CAPES,PP,OS SERVIÇOS DE BIBLIOTECA ATENDEM ÀS NECESSIDADES REAIS DOS USUÁRIOS? ESTA É A QUESTÃO CENTRAL DESTE ESTUDO. ESTE TRABALHO PRETENDE INVESTIGAR A PERCEPÇÃO E SATISFAÇÃO DOS USUÁRIOS A FIM DE TESTAR AS SEGUINTES HIPÓTESES: 1) OS SERVIÇOS OFERECIDOS PELA BIBLIOTECA PODEM SER MELHORADOS SE IDENTIFICADAS PRIMEIRAMENTE AS NECESSIDADES DESTES; 2) O SISTEMA INTEGRADO DE BIBLIOTECAS DO IFPE PODERÁ ADEQUAR ATIVIDADES DE GESTÃO E PLANEJAMENTO SE COMPREENDER A QUALIDADE DOS SERVIÇOS OFERECIDOS EM SEUS CA...
1,"T1: Políticas Públicas, Educação e Saúde",15,0.97,2023,CAPES,PP,"O OBJETIVO DESTA PESQUISA É IDENTIFICAR ESTRATÉGIAS DE GESTÃO PARA O FORTALECIMENTO DA PERMANÊNCIA QUALIFICADA DE ESTUDANTES QUE FAZEM PARTE DO PROJETO ESTADUAL DE AUXÍLIO PERMANÊNCIA NA UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA (UEFS). O REFERIDO PROJETO, MAIS CONHECIDO COMO PROGRAMA MAIS FUTURO, É PARTE DE UMA POLÍTICA EDUCATIVA DO GOVERNO DO ESTADO DA BAHIA, QUE CONCEDE AUXÍLIO PERMANÊNCIA A ALUNOS EM CONDIÇÕES DE VULNERABILIDADE SOCIOECONÔMICA DAS QUATRO UNIVERSIDADES ESTADUAIS BAIANAS. A..."
1,"T1: Políticas Públicas, Educação e Saúde",16,0.969,2019,CAPES,PP,"A PRESENTE PESQUISA TRATOU SOBRE A EVASÃO ESTUDANTIL NAS INSTITUIÇÕES DE ENSINO SUPERIOR. EXISTE ESCASSA LITERATURA SOBRE ESSA TEMÁTICA, TORNANDO RELEVANTE SEU ESTUDO E APROFUNDAMENTO, UMA VEZ QUE PODE AFETAR O RESULTADO FINAL DE DESEMPENHO NO ENSINO SUPERIOR, GERANDO PREJUÍZO PARA A SOCIEDADE COMO UM TODO. O LÓCUS DA INVESTIGAÇÃO FOI A UNIVERSIDADE FEDERAL DO AMAPÁ (UNIFAP), LEVANTANDO-SE DADOS DO CURSO DE BACHARELADO EM ADMINISTRAÇÃO, UTILIZANDO-SE UM RECORTE TEMPORAL DE 2014 A 2017. FOI EV..."
1,"T1: Políticas Públicas, Educação e Saúde",17,0.967,2020,CAPES,PP,"ESTE TRABALHO OBJETIVOU INVESTIGAR AS IMPLICAÇÕES DA ATUAÇÃO DA GESTÃO ESCOLAR NA IMPLANTAÇÃO E ACOMPANHAMENTO DAS SALAS DE RECURSOS MULTIFUNCIONAIS (SRMS) NA REDE MUNICIPAL DE FEIRA DE SANTANA. AS SRMS SÃO PARTE IMPORTANTE DA POLÍTICA NACIONAL DA EDUCAÇÃO ESPECIAL NA PERSPECTIVA DA EDUCAÇÃO INCLUSIVA E FUNCIONAM COMO ESPAÇOS ONDE É REALIZADO O ATENDIMENTO EDUCACIONAL ESPECIALIZADO NA ESCOLA REGULAR, COM A FUNÇÃO DE COMPLEMENTAR OU SUPLEMENTAR A FORMAÇÃO DE ESTUDANTE COM DEFICIÊNCIA, TRANSTOR..."
1,"T1: Políticas Públicas, Educação e Saúde",18,0.967,2019,CAPES,PP,"A EAD APRESENTA-SE COMO UMA POSSIBILIDADE DE FORMAÇÃO EM NÍVEL SUPERIOR PARA AS REGIÕES DO PAÍS NAS QUAIS O ACESSO É DIFÍCIL, ASSIM COMO A INSTALAÇÃO E PERMANÊNCIA DAS IES. PREENCHE ASSIM, LACUNAS NA FORMAÇÃO DE PROFESSORES DA EDUCAÇÃO BÁSICA, E POSSIBILITA TAMBÉM A FORMAÇÃO INICIAL DE JOVENS E ADULTOS. A PESQUISA ESTÁ CENTRADA NO PROCESSO DE IMPLANTAÇÃO DO CURSO DE LICENCIATURA EM EDUCAÇÃO FÍSICA - MODALIDADE A DISTÂNCIA, DA UNIVERSIDADE FEDERAL DO AMAPÁ, COM ENTRADA DA PRIMEIRA TURMA EM 201..."
1,"T1: Políticas Públicas, Educação e Saúde",19,0.965,2020,CAPES,PP,"ESTA PESQUISA APRESENTA OS RESULTADOS DE UMA INVESTIGAÇÃO SOBRE O FENÔMENO DA EVASÃO NO INSTITUTO FEDERAL DE PERNAMBUCO CAMPUS CABO DE SANTO AGOSTINHO. ATUALMENTE, O CAMPUS OFERTA CURSOS TÉCNICOS, CURSOS DE QUALIFICAÇÃO PROFISSIONAL, CURSOS SUPERIORES E CURSO DE PÓS-GRADUAÇÃO. NO ENTANTO, FOI REALIZADO UM ESTUDO DE CASO COM O OBJETIVO DE IDENTIFICAR O ÍNDICE DE EVASÃO NOS CURSOS TÉCNICOS, POR TEREM SIDO OS PRIMEIROS A SEREM IMPLANTADOS E OS QUE POSSUEM TURMAS CONCLUÍDAS. A PESQUISA OBTEVE COM..."
1,"T1: Políticas Públicas, Educação e Saúde",20,0.965,2019,CAPES,PP,"A DISSERTAÇÃO EM TELA, DESENVOLVIDA NO PROGRAMA DE PÓS-GRADUAÇÃO DO MESTRADO PROFISSIONAL EM PLANEJAMENTO E POLÍTICAS PÚBLICAS DO CENTRO DE ESTUDOS SOCIAIS E APLICADOS DA UNIVERSIDADE ESTADUAL DO CEARÁ, TEVE COMO OBJETO DE ESTUDO A AVALIAÇÃO DO PROGRAMA DE POLÍTICAS PÚBLICAS, O PARFOR, NA UNIVERSIDADE FEDERAL DO AMAPÁ (UNIFAP), ATRAVÉS DE SUA IMPLANTAÇÃO, FUNCIONAMENTO E RESULTADOS NO PERÍODO DE 2010 A 2014. O PROGRAMA, NA MODALIDADE PRESENCIAL, É EMERGENCIAL E BUSCA INDUZIR E PROMOVER A OFER..."
2,"T2: Política Externa, Cooperação e Integração Regional",1,0.998,2015,CAPES,DEFESA,"16 DE MAIO 1975, O PRESIDENTE ERNESTO GEISEL DECIDIU PELA ADESÃO DO EM 16 DE MAIO 1975, O PRESIDENTE ERNESTO GEISEL DECIDIU PELA ADESÃO DO EM 16 DE MAIO 1975, O PRESIDENTE ERNESTO GEISEL DECIDIU PELA ADESÃO DO EM 16 DE MAIO 1975, O PRESIDENTE ERNESTO GEISEL DECIDIU PELA ADESÃO DO EM 16 DE MAIO 1975, O PRESIDENTE ERNESTO GEISEL DECIDIU PELA ADESÃO DO EM 16 DE MAIO 1975, O PRESIDENTE ERNESTO GEISEL DECIDIU PELA ADESÃO DO EM 16 DE MAIO 1975, O PRESIDENTE ERNESTO GEISEL DECIDIU PELA ADESÃO DO EM ..."
2,"T2: Política Externa, Cooperação e Integração Regional",2,0.964,2015,CAPES,RI,"O PRESENTE TRABALHO REALIZOU UM ESTUDO DE CASO COM UMA ABORDAGEM INTERPRETATIVA E EXPLANATÓRIA COM O OBJETIVO DE ANALISAR A ORIENTAÇÃO DA POLÍTICA EXTERNA BRASILEIRA PARA O ORIENTE MÉDIO NOS GOVERNOS DE FERNANDO HENRIQUE CARDOSO A LUIZ INÁCIO LULA DA SILVA TENDO COMO BASE A CRISE ENTRE OS ESTADOS UNIDOS DA AMÉRICA E O IRAQUE NO CONSELHO DE SEGURANÇA DAS NAÇÕES UNIDAS (CSNU), ENTRE 1997 E 1998; A TRANSIÇÃO DE GOVERNOS DE FERNANDO HENRIQUE CARDOSO PARA LUIZ INÁCIO LULA DA SILVA EM 2002 E A INVA..."
2,"T2: Política Externa, Cooperação e Integração Regional",3,0.956,2008,CAPES,RI,"O objeto da presente dissertação é analisar o primeiro período das relações entre Brasil e.Índia. Uma observação histórica preliminar das relações entre os dois países permite.dividi-la em dois grandes períodos temáticos: o primeiro, iniciado após a independência.indiana, em 1947, caracterizado pela tensão diplomática gerada pelas discussões acerca.da descolonização dos enclaves portugueses na Índia, dos quais o mais importante e.conhecido era Goa; e o segundo, tendo início com a criação da C..."
2,"T2: Política Externa, Cooperação e Integração Regional",4,0.951,2021,CAPES,DEFESA,"O OBJETO DESTA PESQUISA SÃO OS FATORES CONDICIONANTES DA APROXIMAÇÃO DIPLOMÁTICA ENTRE O BRASIL E A PALESTINA, NA PERSPECTIVA DA POLÍTICA EXTERNA BRASILEIRA (PEB), NO PERÍODO ENTRE 1947 E 1991. PRIMEIRAMENTE, ABORDAR-SE-Á O CONFLITO ISRAELO-PALESTINO EM PERSPECTIVA HISTÓRICA, ALÉM DAS CONSEQUÊNCIAS DESTE PARA O SISTEMA INTERNACIONAL, CONSIDERANDO ESPECIALMENTE AS INÚMERAS RESOLUÇÕES DAS NAÇÕES UNIDAS PARA O TEMA. EM SEGUIDA, SERÃO ABORDADOS OS ANTECEDENTES POLÍTICO-DIPLOMÁTICOS DA APROXIMAÇÃO..."
2,"T2: Política Externa, Cooperação e Integração Regional",5,0.95,2006,CAPES,RI,"A presente Dissertação visa a estudar como o Brasil posicionou-se, ao longo dos últimos 58 anos, frente às tensões na Palestina. Sabe-se que a região foi palco de seis guerras nos últimos anos: a Guerra de Independência, a Guerra de Suez, a Guerra dos Seis Dias, a Guerra do Yom Kippur, a Guerra de Atrito e o Conflito no Líbano. Ainda hoje, o Oriente Médio permanece uma área conturbada, sem solução definitiva para o imbróglio da questão Palestina. Nesse contexto, o trabalho analisa, em perspec..."
2,"T2: Política Externa, Cooperação e Integração Regional",6,0.947,2011,CAPES,RI,"Este trabalho examina a recusa do Governo Costa e Silva em aderir ao Tratado de Não-Proliferação de Armas Nucleares (TNP), em 1968, um dos marcos da détente entre os Estados Unidos e a União Soviética. Mediante revisão bibliográfica e pesquisa nos arquivos do Itamaraty, investigamos os motivos pelos quais o Brasil não assinou o Tratado com vistas a entender melhor a posição do País na questão da não-proliferação nuclear no período. Concluímos que o Governo militar adotou uma Política Externa ..."
2,"T2: Política Externa, Cooperação e Integração Regional",7,0.944,2023,CAPES,CP,"A RÁPIDA ASCENSÃO CHINESA ENTRE 1990 E 2020 FOI ACOMPANHADA POR UMA MUDANÇA SIGNIFICATIVA NA PERCEPÇÃO DOS ESTADOS UNIDOS SOBRE A PRÓPRIA CHINA, O QUE, POR SUA VEZ, GEROU UMA MUDANÇA SUBSTANCIAL NA POLÍTICA EXTERNA DE WASHINGTON EM RELAÇÃO A PEQUIM. O OBJETIVO DESSA DISSERTAÇÃO É ANALISAR JUSTAMENTE ESSA TRANSIÇÃO DE CONDUTA DA POLÍTICA EXTERNA DOS ESTADOS UNIDOS. DIANTE DISSO, OPTAMOS PELA ELABORAÇÃO DE UMA NARRATIVA ESTRUTURADA SOBRE OS PRECEITOS BÁSICOS DO PROCESS TRACING, A FIM DE ENTENDE..."
2,"T2: Política Externa, Cooperação e Integração Regional",8,0.943,2022,CAPES,RI,"ESTEVES, HELENA L.. 2022.F. DISSERTAÇÃO (MESTRADO EM RELAÇÕES INTERNACIONAIS) - INSTITUTO DE FILOSOFIA E CIÊNCIAS HUMANAS, UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO, RIO DE JANEIRO, 2022 O EX-PRESIDENTE LUIZ INÁCIO LULA DA SILVA ELEITO PRESIDENTE PARA DOIS MANDATOS DE 2003 A 2010 TROUXE MUDANÇAS PARA A POLÍTICA EXTERNA BRASILEIRA. A NOVA ORIENTAÇÃO PARA A POLÍTICA EXTERNA DO BRASIL TINHA POR OBJETIVO A BUSCA POR AUTONOMIA E INSERÇÃO INTERNACIONAL DO PAÍS, ATRAVÉS DA AUTONOMIA PELA DIVERSIFICAÇ..."
2,"T2: Política Externa, Cooperação e Integração Regional",9,0.943,2017,CAPES,DEFESA,"A INSERÇÃO INTERNACIONAL DE MOÇAMBIQUE É UM PROCESSO QUE OCORREU EM FASES, TENDO SE INICIADO COM OS ESFORÇOS EMPREENDIDOS NA DÉCADA DE 1960 PELO DR. EDUARDO CHIVAMBO MONDLANE, PRIMEIRO PRESIDENTE DA FRENTE DE LIBERTAÇÃO DE MOÇAMBIQUE (FRELIMO). VISANDO CRIAR O ISOLAMENTO INTERNACIONAL DO REGIME COLONIAL PORTUGUÊS E OBTER O APOIO NECESSÁRIO PARA A CAUSA DA INDEPENDÊNCIA DE MOÇAMBIQUE, MONDLANE ESTABELECEU CONTATOS COM GOVERNOS DE VÁRIOS ESTADOS DO MUNDO INCLUINDO PAÍSES OCIDENTAIS, PAÍSES PROG..."
2,"T2: Política Externa, Cooperação e Integração Regional",10,0.94,2008,CAPES,RI,"A Política da Boa Vizinhança, lançada no governo Presidente Franklin Delano Roosevelt (1933-1945), sinaliza uma reorientação da política externa norte-americana para a América Latina. A postura agressiva dos Estados Unidos em suas relações com a região sul do continente americano desde o início do século XX mostrou-se contraproducente aos objetivos norte-americanos naquela área, especialmente considerando-se a crescente influência que a Alemanha nazista exercia entre os latino-americanos. Nes..."
2,"T2: Política Externa, Cooperação e Integração Regional",11,0.938,2009,CAPES,RI,"Esse trabalho analisa os momentos de inflexão nas relações do Brasil, nos foros multilaterais, com os países do Sul durante a segunda metade do século XX, à luz dos momentos de redefinição das diretrizes de atuação internacional do País no tocante as suas ações em relação aos países em desenvolvimento. Buscamos apresentar, a partir da análise das modificações no sistema internacional e na história da Política Externa Brasileira, ao longo do período analisado, como o Sul era visto pela diploma..."
2,"T2: Política Externa, Cooperação e Integração Regional",12,0.938,2020,CAPES,RI,"O OBJETIVO DESTA PESQUISA CONSISTE EM ANALISAR A RELAÇÃO BILATERAL ENTRE BRASIL-ESTADOS UNIDOS, TENDO COMO MARCO TEMPORAL OS DOIS GOVERNOS DE FERNANDO HENRIQUE CARDOSO (1995 A 2002). O FOCO PRINCIPAL SERÁ ENTENDER O POSICIONAMENTO BRASILEIRO CONSIDERANDO VARIÁVEIS POLÍTICAS, DIPLOMÁTICAS, ECONÔMICAS E CONJUNTURAIS. ENTENDE-SE QUE O RELACIONAMENTO ENVOLVENDO ESTES DOIS PAÍSES É HISTÓRICO E A BUSCA DO BRASIL PELA INSERÇÃO NA DINÂMICA INTERNACIONAL DIRECIONA A SUA ATUAÇÃO NAS RELAÇÕES INTERNACIO..."
2,"T2: Política Externa, Cooperação e Integração Regional",13,0.935,2015,CAPES,CP,"ESTA DISSERTAÇÃO SE PROPÕE A DESCREVER A POLÍTICA EXTERNA DO BRASIL (PEB) PARA O ORIENTE MÉDIO DURANTE O GOVERNO DE LUIZ INÁCIO LULA DA SILVA (2003-2010). AO ASSUMIR O PODER, LULA BUSCOU ESTREITAR OS LAÇOS DIPLOMÁTICOS COM OS PAÍSES DAQUELA REGIÃO, A QUAL, EM RETROSPECTO HISTÓRICO, SEMPRE FOI TRATADA COMO UMA ÁREA DE BAIXA PRIORIDADE PARA A PEB, APESAR DE O ORIENTE MÉDIO SER UMA ZONA DE SUMA IMPORTÂNCIA PARA A ESTABILIDADE INTERNACIONAL. DESSA FORMA, FOI FEITO UM BREVE RESUMO DAS RELAÇÕES ENT..."
2,"T2: Política Externa, Cooperação e Integração Regional",14,0.934,2007,CAPES,RI,"O espaço Atlântico representa um interesse geoestratégico comum tanto para a União Européia como para a América Latina e Caribe. Nas últimas duas décadas, ambas regiões empreenderam uma dinâmica troca de cooperação e um reforço nos seus processos de integração regional, com o propósito de projetar melhor inserção internacional no atual contexto globalizado. ..Em nível estatal e com o objetivo de alcançar uma diversificação de suas políticas externas, os países latino-americanos e europeus for..."
2,"T2: Política Externa, Cooperação e Integração Regional",15,0.933,1993,CAPES,RI,"O TRABALHO CONSIDERA QUE FOI A PARTIR DO GOVERNO DO PRESIDENTE GEISEL QUE O BRASIL AUMENTOU O SEU INTERCAMBIO COM A AMERICA LATINA E DEU OS PRIMEIROS PASSOS NA BUSCA DE UMA INTEGRACAO SUB-REGIONAL QUE, INCENTIV ADA PELOS PRESIDENTES FIGUEIREDO E SARNEY, VEIO A RESULTAR NA FORMACAO DO MERCOSUL. ESSA MAIOR APROXIMACAO COM A AMERICA LATINA DEU-SE NO AMBITO DA POLITICA EXTERNA BRASILEIRA DO PERIODO, ROTULADA DE ""PRAGMATIS MO RESPONSAVEL"", QUE BUSCAVA UMA MAIOR DIVERSIFICACAO DAS RELACOES EXTERNAS..."
2,"T2: Política Externa, Cooperação e Integração Regional",16,0.93,2011,CAPES,RI,"O objetivo da presente dissertação é analisar a singularização do relacionamento Brasil-União Européia nos últimos cinqüenta anos, desde o estabelecimento de relações diplomáticas com a Comunidade Européia firmada em 1960, até os momentos imediatamente posteriores à institucionalização do diálogo estratégico em julho de 2007. A construção do trabalho permite entrever como a parceria estratégica (em si, tema complexo e em presente evolução) firmada entre Brasil e União Européia deu-se em um ..."
