periodico,ano,titulo,doi,e_resenha
Lua_Nova,1989,As modificações do sistema internacional e o Brasil,https://doi.org/10.1590/s0102-64451989000300009,NA
Brazilian_Political_Science_Review,2007,Women and Candidate Quality in the Elections for the Senate: Brazil and the United States in Comparative Perspective,https://doi.org/10.1590/1981-3831200700020003,NA
Opiniao_Publica,2004,"Evangélicos no Brasil: perfil socioeconômico, afinidades ideológicas e determinantes do comportamento eleitoral",https://doi.org/10.1590/s0104-62762004000200006,NA
Revista_de_Sociologia_e_Politica,2002,O legado sociológico de Pierre Bourdieu: duas dimensões e uma nota pessoal,https://doi.org/10.1590/s0104-44782002000200007,NA
DADOS_Revista_de_Ciencias_Sociais,1999,Estado e empreiteiras na comunidade de políticas urbanas no Rio de Janeiro,https://doi.org/10.1590/s0011-52581999000200005,NA
Lua_Nova,1996,Visões do futuro: imagens da ciência e do cientista,https://doi.org/10.1590/s0102-64451996000100011,NA
Opiniao_Publica,2014,Explicando os efeitos de programas de socialização política: a experiência do Parlamento Jovem no Brasil,https://doi.org/10.1590/1807-01912014203425,NA
Lua_Nova,2008,A revolução russa e o sistema internacional,https://doi.org/10.1590/s0102-64452008000300004,NA
DADOS_Revista_de_Ciencias_Sociais,2015,Encontros Globais e Confrontos Culturais: O Pentecostalismo Brasileiro à Conquista da Europa,https://doi.org/10.1590/00115258201563,NA
Lua_Nova,1984,Maluf ou o novo corpo do rei,https://doi.org/10.1590/s0102-64451984000300010,NA
Revista_de_Sociologia_e_Politica,2004,Aonde vai a teoria política?,https://doi.org/10.1590/s0104-44782004000200003,NA
RBCP_Revista_Brasileira_de_Ciencia_Politica,2012,As lógicas do recrutamento político,https://doi.org/10.1590/s0103-33522012000200007,NA
DADOS_Revista_de_Ciencias_Sociais,2008,Sociabilidades e valores: um olhar sobre a família árabe muçulmana em São Paulo,https://doi.org/10.1590/s0011-52582008000100002,NA
Lua_Nova,2014,San Francisco e a nova economia do desejo,https://doi.org/10.1590/s0102-64452014000100010,NA
Lua_Nova,2018,"Trabalhadores, sindicalismo e política: 1978, quarenta anos depois",https://doi.org/10.1590/0102-0026/104,NA
Opiniao_Publica,2014,Candidatos corruptos são punidos?: accountability na eleição brasileira de 2006,https://doi.org/10.1590/s0104-62762014000100002,NA
DADOS_Revista_de_Ciencias_Sociais,2013,Por que pensamento e não teoria?: a imaginação político-social brasileira e o fantasma da condição periférica (1880-1970),https://doi.org/10.1590/s0011-52582013000400001,NA
Brazilian_Political_Science_Review,2025,Machiavelli against Imperialism: a Critique of Roman Expansionism and a Call for a Confederative Solution,https://doi.org/10.1590/1981-3821202500020004,NA
DADOS_Revista_de_Ciencias_Sociais,1979,Distribuicao de renda e desenvolvimento: novas evidencias e uma tentativa de clarificacao da controversia no brasil,NA,NA
DADOS_Revista_de_Ciencias_Sociais,2013,Influência majoritária em eleições proporcionais: os efeitos presidenciais e governatoriais sobre as eleições para a câmara dos deputados brasileira (1994-2010),https://doi.org/10.1590/s0011-52582013000200006,NA
Brazilian_Political_Science_Review,2018,Diplomacy as an Independent Variable,https://doi.org/10.1590/1981-3821201800020008,NA
Opiniao_Publica,2005,Teoria e institucionalização dos sistemas partidários após a terceira onda de democratização,https://doi.org/10.1590/s0104-62762005000200001,NA
Brazilian_Political_Science_Review,2020,"News Media and Connectivity in Deliberative Systems: Reflections on the Debate about the Brazilian Age of Criminal Responsibility,",https://doi.org/10.1590/1981-3821202100010002,NA
RBCP_Revista_Brasileira_de_Ciencia_Politica,2013,Administrando o debate público: O Globo e a controvérsia em torno das cotas raciais,https://doi.org/10.1590/s0103-33522013000200001,NA
Lua_Nova,1984,Mais respeito!: A festa é do povo,https://doi.org/10.1590/s0102-64451984000200010,NA
Opiniao_Publica,2025,Superação da cidadania regulada: a constitucionalização de direitos sociais no Brasil em perspectiva comparada,https://doi.org/10.1590/1807-0191202531108,NA
RBCP_Revista_Brasileira_de_Ciencia_Politica,2016,Resenhas,https://doi.org/10.1590/0103-335220161915,NA
DADOS_Revista_de_Ciencias_Sociais,2004,Estrutura familiar e rendimentos do trabalho dos ricos,https://doi.org/10.1590/s0011-52582004000200006,NA
Lua_Nova,2006,"Representação: palavras, instituições e idéias",https://doi.org/10.1590/s0102-64452006000200003,NA
Brazilian_Political_Science_Review,2026,Responsibility and Resources: The Political Economy of Chinese Deployment to UN Peacekeeping Operations,https://doi.org/10.1590/1981-3821202600020006,NA
Lua_Nova,2002,Os meios de comunicação e a prática política,https://doi.org/10.1590/s0102-64452002000100007,NA
Revista_de_Sociologia_e_Politica,2004,"Reseña de ""Democracia : teoria e prática"" de Renato Monseff Perissinotto y Mário Fuks",NA,NA
Revista_de_Sociologia_e_Politica,2008,A institucionalização da câmara dos deputados dos Estados Unidos,https://doi.org/10.1590/s0104-44782008000100014,NA
Brazilian_Political_Science_Review,2015,Overtaking,https://doi.org/10.1590/1981-38212014000200014,NA
Lua_Nova,1984,Um brasileiro na democracia americana,https://doi.org/10.1590/s0102-64451984000300015,NA
Lua_Nova,2002,As prisões do mercado,https://doi.org/10.1590/s0102-64452002000100006,NA
DADOS_Revista_de_Ciencias_Sociais,2006,Congresso e política de reforma do estado no Brasil,https://doi.org/10.1590/s0011-52582006000200001,NA
Opiniao_Publica,2023,Vale quanto pesa? A influência das eleições de governador sobre a composição da Câmara dos Deputados no Brasil (1994-2018),https://doi.org/10.1590/1807-01912023293761,NA
Opiniao_Publica,2024,The Brazilian Amazon and the Soveregnist Discourse: old and new storylines,https://doi.org/10.1590/1807-0191202430119,NA
Revista_de_Sociologia_e_Politica,2008,Isaiah Berlin: afirmação e limitação da liberdade,https://doi.org/10.1590/s0104-44782008000100017,NA
Opiniao_Publica,2000,Apoio popular à integração econômica regional na América Latina,https://doi.org/10.1590/s0104-62762000000200003,NA
Revista_de_Sociologia_e_Politica,2014,Crisis?: What (Type) of Crisis? The overlapping problems of the European Union,https://doi.org/10.1590/1678-987314225004,NA
RBCP_Revista_Brasileira_de_Ciencia_Politica,2012,"Aborto por anencefalia na mídia brasileira: análise retórica do debate entre as posições ""pró-escolha"" e ""pró-vida""",https://doi.org/10.1590/s0103-33522012000100005,NA
Lua_Nova,1987,Trinta anos de não-alinhados,https://doi.org/10.1590/s0102-64451987000100016,NA
Lua_Nova,1992,Capitalismo democraticamente planejado?: A tríplice transição no Leste europeu,https://doi.org/10.1590/s0102-64451992000300005,NA
DADOS_Revista_de_Ciencias_Sociais,2006,"Uma virada imprevista: o""fim"" da adoção internacional no Brasil",https://doi.org/10.1590/s0011-52582006000100003,NA
RBCP_Revista_Brasileira_de_Ciencia_Politica,2018,Influências do Parlamento Jovem Brasileiro no comportamento político dos egressos: análise da autopercepção dos jovens participantes,https://doi.org/10.1590/0103-335220182705,NA
Opiniao_Publica,2021,A construção de vínculos político-territoriais na cidade: evidências de São Paulo,https://doi.org/10.1590/1807-01912021272549,NA
Revista_de_Sociologia_e_Politica,2007,Competencia intercapitalista en tecnología estratégica y su militarización: el caso del sistema satelital Galileo,https://doi.org/10.1590/s0104-44782007000200009,NA
Brazilian_Political_Science_Review,2019,The World Cup and Presidential Popularity in Brazil,https://doi.org/10.1590/1981-3821201900030001,NA
DADOS_Revista_de_Ciencias_Sociais,2009,Mudanças e permanências na cultura política das metrópoles brasileiras,https://doi.org/10.1590/s0011-52582009000300005,NA
Lua_Nova,1985,Isso é conversa de branco,https://doi.org/10.1590/s0102-64451985000400003,NA
Lua_Nova,2019,"LEI, LIBERDADE E DIVERSIDADE DE FINS NO PLURALISMO DE VALORES",https://doi.org/10.1590/0102-169202/107,NA
Lua_Nova,1994,Um diálogo de surdos: o projeto calha norte,https://doi.org/10.1590/s0102-64451994000300007,NA
Brazilian_Political_Science_Review,2021,Sources of the Incumbency (Dis)Advantage,https://doi.org/10.1590/1981-3821202200010003,NA
DADOS_Revista_de_Ciencias_Sociais,2013,La igualdad en el lazo social: procesos sociohistóricos y nuevas percepciones de la desigualdad en la sociedad chilena,https://doi.org/10.1590/s0011-52582013000100005,NA
DADOS_Revista_de_Ciencias_Sociais,1982,"Crise e transicao : uma interpretacao do momento politico nacional. V reuniau anual da associacao nacional de pos-graduacao e pesquisa em ciencias sociais, friburgo, suiza, 21-23 outubro, 1981",NA,NA
Opiniao_Publica,2020,Between knowing and feeling: emotions and the vote in the 2017 Chilean presidential election,https://doi.org/10.1590/1807-01912020263452,NA
Lua_Nova,1994,Construir a cidadania: uma visão desde baixo,https://doi.org/10.1590/s0102-64451994000200004,NA
